CustomerName1,0988888801,test1@mail.com,medium,"bacon;cheese",15:45,test1
CustomerName2,0988888802,test2@mail.com,medium,"bacon;cheese",15:45,test2
CustomerName3,0988888803,test3@mail.com,medium,"bacon;cheese",15:45,test3
CustomerName4,0988888804,test4@mail.com,medium,"bacon;cheese",15:45,test4
CustomerName5,0988888805,test5@mail.com,medium,"bacon;cheese",15:45,test5
CustomerName6,0988888806,test6@mail.com,medium,"bacon;cheese",15:45,test6
CustomerName7,0988888807,test7@mail.com,medium,"bacon;cheese",15:45,test7
CustomerName8,0988888808,test8@mail.com,medium,"bacon;cheese",15:45,test8
CustomerName9,0988888809,test9@mail.com,medium,"bacon;cheese",15:45,test9
CustomerName10,0988888810,test10@mail.com,medium,"bacon;cheese",15:45,test10
CustomerName11,0988888811,test11@mail.com,medium,"bacon;cheese",15:45,test11
CustomerName12,0988888812,test12@mail.com,medium,"bacon;cheese",15:45,test12
CustomerName13,0988888813,test13@mail.com,medium,"bacon;cheese",15:45,test13
CustomerName14,0988888814,test14@mail.com,medium,"bacon;cheese",15:45,test14
CustomerName15,0988888815,test15@mail.com,medium,"bacon;cheese",15:45,test15
CustomerName16,0988888816,test16@mail.com,medium,"bacon;cheese",15:45,test16
CustomerName17,0988888817,test17@mail.com,medium,"bacon;cheese",15:45,test17
CustomerName18,0988888818,test18@mail.com,medium,"bacon;cheese",15:45,test18
CustomerName19,0988888819,test19@mail.com,medium,"bacon;cheese",15:45,test19
CustomerName20,0988888820,test20@mail.com,medium,"bacon;cheese",15:45,test20
